S.No,Category (Landing Page),Sub Category,Product / Service Name,Type,Unit Mapping,Alt / Secondary Units,Quantity Parameters
48,Accounting Services,Bookkeeping,Audit Report Binder - Bookkeeping Variant 6,Product,Per Filing,Annual,490
49,Accounting Services,Bookkeeping,Payroll Management Software - Bookkeeping Variant 7,Product,Per Month,Annual,500
50,Accounting Services,Bookkeeping,Company Seal - Bookkeeping Variant 8,Product,Per Hour,Monthly,10
51,Accounting Services,Bookkeeping,Tax Calculation Software - Bookkeeping Variant 9,Product,Per Project,Contract,20
52,Accounting Services,Bookkeeping,Tax Filing Software - Bookkeeping Variant 10,Product,Per Acre,Per Season,30
53,Accounting Services,Bookkeeping,Accounting Ledger Book - Bookkeeping Variant 11,Product,Per Day,Monthly,40
54,Accounting Services,Bookkeeping,GST Invoice Book - Bookkeeping Variant 12,Product,Per Sample,Batch,50
55,Accounting Services,Bookkeeping,Tally ERP Software - Bookkeeping Variant 13,Product,Per Trip,Contract,60
56,Accounting Services,Bookkeeping,Digital Signature Certificate - Bookkeeping Variant 14,Product,Per Formula,Contract,70
57,Accounting Services,Bookkeeping,Balance Sheet Template - Bookkeeping Variant 15,Product,Per Animal,Annual,80
58,Accounting Services,Bookkeeping,Audit Report Binder - Bookkeeping Variant 16,Product,Sheet,Box,90
59,Accounting Services,Bookkeeping,GST Registration - Bookkeeping Package 1,Service,Per Project,Contract,1
60,Accounting Services,Bookkeeping,Annual Audit Service - Bookkeeping Package 2,Service,Per Project,Contract,1
61,Accounting Services,Bookkeeping,Bookkeeping Monthly - Bookkeeping Package 3,Service,Per Project,Contract,1
62,Accounting Services,Bookkeeping,Payroll Processing - Bookkeeping Package 4,Service,Per Project,Contract,1
63,Accounting Services,Bookkeeping,Tax Return Filing - Bookkeeping Package 5,Service,Per Project,Contract,1
64,Accounting Services,Payroll Services,Accounting Ledger Book - Payroll Services Variant 1,Product,Piece,Dozen,150
65,Accounting Services,Payroll Services,GST Invoice Book - Payroll Services Variant 2,Product,Set,Lot,160
66,Accounting Services,Payroll Services,Tally ERP Software - Payroll Services Variant 3,Product,Meter,Roll,170
67,Accounting Services,Payroll Services,Digital Signature Certificate - Payroll Services Variant 4,Product,Box,Carton,180
68,Accounting Services,Payroll Services,Balance Sheet Template - Payroll Services Variant 5,Product,Bag,Pallet,190
69,Accounting Services,Payroll Services,Audit Report Binder - Payroll Services Variant 6,Product,Unit,Lot,200
70,Accounting Services,Payroll Services,Payroll Management Software - Payroll Services Variant 7,Product,License,Subscription,210
71,Accounting Services,Payroll Services,Company Seal - Payroll Services Variant 8,Product,Service,Contract,220
72,Accounting Services,Payroll Services,Tax Calculation Software - Payroll Services Variant 9,Product,Ton,MT,230
73,Accounting Services,Payroll Services,Tax Filing Software - Payroll Services Variant 10,Product,Pack,Carton,240
74,Accounting Services,Payroll Services,Accounting Ledger Book - Payroll Services Variant 11,Product,Gram,Kg,250
75,Accounting Services,Payroll Services,GST Invoice Book - Payroll Services Variant 12,Product,Can,Pallet,260
76,Accounting Services,Payroll Services,Tally ERP Software - Payroll Services Variant 13,Product,Book,Box,270
77,Accounting Services,Payroll Services,Digital Signature Certificate - Payroll Services Variant 14,Product,Certificate,Lot,280
78,Accounting Services,Payroll Services,Balance Sheet Template - Payroll Services Variant 15,Product,Credit,Pack,290
79,Accounting Services,Payroll Services,Audit Report Binder - Payroll Services Variant 16,Product,Per Filing,Annual,300
80,Accounting Services,Payroll Services,GST Registration - Payroll Services Package 1,Service,Per Project,Contract,1
81,Accounting Services,Payroll Services,Annual Audit Service - Payroll Services Package 2,Service,Per Project,Contract,1
82,Accounting Services,Payroll Services,Bookkeeping Monthly - Payroll Services Package 3,Service,Per Project,Contract,1
83,Accounting Services,Payroll Services,Payroll Processing - Payroll Services Package 4,Service,Per Project,Contract,1
84,Accounting Services,Payroll Services,Tax Return Filing - Payroll Services Package 5,Service,Per Project,Contract,1
85,Accounting Services,GST Filing,Accounting Ledger Book - GST Filing Variant 1,Product,Per Sample,Batch,360
86,Accounting Services,GST Filing,GST Invoice Book - GST Filing Variant 2,Product,Per Trip,Contract,370
87,Accounting Services,GST Filing,Tally ERP Software - GST Filing Variant 3,Product,Per Formula,Contract,380
88,Accounting Services,GST Filing,Digital Signature Certificate - GST Filing Variant 4,Product,Per Animal,Annual,390
89,Accounting Services,GST Filing,Balance Sheet Template - GST Filing Variant 5,Product,Sheet,Box,400
90,Accounting Services,GST Filing,Audit Report Binder - GST Filing Variant 6,Product,Roll,Pallet,410
91,Accounting Services,GST Filing,Payroll Management Software - GST Filing Variant 7,Product,Sqft,Sqmt,420
92,Accounting Services,GST Filing,Company Seal - GST Filing Variant 8,Product,Sqmt,Acre,430
93,Accounting Services,GST Filing,Tax Calculation Software - GST Filing Variant 9,Product,Kg,Ton,440
94,Accounting Services,GST Filing,Tax Filing Software - GST Filing Variant 10,Product,Litre,Barrel,450
95,Accounting Services,GST Filing,Accounting Ledger Book - GST Filing Variant 11,Product,Piece,Dozen,460
96,Accounting Services,GST Filing,GST Invoice Book - GST Filing Variant 12,Product,Set,Lot,470
97,Accounting Services,GST Filing,Tally ERP Software - GST Filing Variant 13,Product,Meter,Roll,480
98,Accounting Services,GST Filing,Digital Signature Certificate - GST Filing Variant 14,Product,Box,Carton,490
99,Accounting Services,GST Filing,Balance Sheet Template - GST Filing Variant 15,Product,Bag,Pallet,500
100,Accounting Services,GST Filing,Audit Report Binder - GST Filing Variant 16,Product,Unit,Lot,10
101,Accounting Services,GST Filing,GST Registration - GST Filing Package 1,Service,Per Project,Contract,1
102,Accounting Services,GST Filing,Annual Audit Service - GST Filing Package 2,Service,Per Project,Contract,1
103,Accounting Services,GST Filing,Bookkeeping Monthly - GST Filing Package 3,Service,Per Project,Contract,1
104,Accounting Services,GST Filing,Payroll Processing - GST Filing Package 4,Service,Per Project,Contract,1
105,Accounting Services,GST Filing,Tax Return Filing - GST Filing Package 5,Service,Per Project,Contract,1
106,Accounting Services,Financial Reporting,Accounting Ledger Book - Financial Reporting Variant 1,Product,Can,Pallet,70
107,Accounting Services,Financial Reporting,GST Invoice Book - Financial Reporting Variant 2,Product,Book,Box,80
108,Accounting Services,Financial Reporting,Tally ERP Software - Financial Reporting Variant 3,Product,Certificate,Lot,90
109,Accounting Services,Financial Reporting,Digital Signature Certificate - Financial Reporting Variant 4,Product,Credit,Pack,100
110,Accounting Services,Financial Reporting,Balance Sheet Template - Financial Reporting Variant 5,Product,Per Filing,Annual,110
111,Accounting Services,Financial Reporting,Audit Report Binder - Financial Reporting Variant 6,Product,Per Month,Annual,120
112,Accounting Services,Financial Reporting,Payroll Management Software - Financial Reporting Variant 7,Product,Per Hour,Monthly,130
113,Accounting Services,Financial Reporting,Company Seal - Financial Reporting Variant 8,Product,Per Project,Contract,140
114,Accounting Services,Financial Reporting,Tax Calculation Software - Financial Reporting Variant 9,Product,Per Acre,Per Season,150
115,Accounting Services,Financial Reporting,Tax Filing Software - Financial Reporting Variant 10,Product,Per Day,Monthly,160
116,Accounting Services,Financial Reporting,Accounting Ledger Book - Financial Reporting Variant 11,Product,Per Sample,Batch,170
117,Accounting Services,Financial Reporting,GST Invoice Book - Financial Reporting Variant 12,Product,Per Trip,Contract,180
118,Accounting Services,Financial Reporting,Tally ERP Software - Financial Reporting Variant 13,Product,Per Formula,Contract,190
119,Accounting Services,Financial Reporting,Digital Signature Certificate - Financial Reporting Variant 14,Product,Per Animal,Annual,200
120,Accounting Services,Financial Reporting,Balance Sheet Template - Financial Reporting Variant 15,Product,Sheet,Box,210
121,Accounting Services,Financial Reporting,Audit Report Binder - Financial Reporting Variant 16,Product,Roll,Pallet,220
122,Accounting Services,Financial Reporting,GST Registration - Financial Reporting Package 1,Service,Per Project,Contract,1
123,Accounting Services,Financial Reporting,Annual Audit Service - Financial Reporting Package 2,Service,Per Project,Contract,1
124,Accounting Services,Financial Reporting,Bookkeeping Monthly - Financial Reporting Package 3,Service,Per Project,Contract,1
125,Accounting Services,Financial Reporting,Payroll Processing - Financial Reporting Package 4,Service,Per Project,Contract,1
126,Accounting Services,Financial Reporting,Tax Return Filing - Financial Reporting Package 5,Service,Per Project,Contract,1
127,Accounting Services,Forensic Accounting,Accounting Ledger Book - Forensic Accounting Variant 1,Product,Set,Lot,280
128,Accounting Services,Forensic Accounting,GST Invoice Book - Forensic Accounting Variant 2,Product,Meter,Roll,290
129,Accounting Services,Forensic Accounting,Tally ERP Software - Forensic Accounting Variant 3,Product,Box,Carton,300
130,Accounting Services,Forensic Accounting,Digital Signature Certificate - Forensic Accounting Variant 4,Product,Bag,Pallet,310
131,Accounting Services,Forensic Accounting,Balance Sheet Template - Forensic Accounting Variant 5,Product,Unit,Lot,320
132,Accounting Services,Forensic Accounting,Audit Report Binder - Forensic Accounting Variant 6,Product,License,Subscription,330
133,Accounting Services,Forensic Accounting,Payroll Management Software - Forensic Accounting Variant 7,Product,Service,Contract,340
134,Accounting Services,Forensic Accounting,Company Seal - Forensic Accounting Variant 8,Product,Ton,MT,350
135,Accounting Services,Forensic Accounting,Tax Calculation Software - Forensic Accounting Variant 9,Product,Pack,Carton,360
136,Accounting Services,Forensic Accounting,Tax Filing Software - Forensic Accounting Variant 10,Product,Gram,Kg,370
137,Accounting Services,Forensic Accounting,Accounting Ledger Book - Forensic Accounting Variant 11,Product,Can,Pallet,380
138,Accounting Services,Forensic Accounting,GST Invoice Book - Forensic Accounting Variant 12,Product,Book,Box,390
139,Accounting Services,Forensic Accounting,Tally ERP Software - Forensic Accounting Variant 13,Product,Certificate,Lot,400
140,Accounting Services,Forensic Accounting,Digital Signature Certificate - Forensic Accounting Variant 14,Product,Credit,Pack,410
141,Accounting Services,Forensic Accounting,Balance Sheet Template - Forensic Accounting Variant 15,Product,Per Filing,Annual,420
142,Accounting Services,Forensic Accounting,Audit Report Binder - Forensic Accounting Variant 16,Product,Per Month,Annual,430
143,Accounting Services,Forensic Accounting,GST Registration - Forensic Accounting Package 1,Service,Per Project,Contract,1
144,Accounting Services,Forensic Accounting,Annual Audit Service - Forensic Accounting Package 2,Service,Per Project,Contract,1
145,Accounting Services,Forensic Accounting,Bookkeeping Monthly - Forensic Accounting Package 3,Service,Per Project,Contract,1
146,Accounting Services,Forensic Accounting,Payroll Processing - Forensic Accounting Package 4,Service,Per Project,Contract,1
147,Accounting Services,Forensic Accounting,Tax Return Filing - Forensic Accounting Package 5,Service,Per Project,Contract,1
148,Accounting Services,Cost Accounting,Accounting Ledger Book - Cost Accounting Variant 1,Product,Per Trip,Contract,490
149,Accounting Services,Cost Accounting,GST Invoice Book - Cost Accounting Variant 2,Product,Per Formula,Contract,500
150,Accounting Services,Cost Accounting,Tally ERP Software - Cost Accounting Variant 3,Product,Per Animal,Annual,10
151,Accounting Services,Cost Accounting,Digital Signature Certificate - Cost Accounting Variant 4,Product,Sheet,Box,20
152,Accounting Services,Cost Accounting,Balance Sheet Template - Cost Accounting Variant 5,Product,Roll,Pallet,30
153,Accounting Services,Cost Accounting,Audit Report Binder - Cost Accounting Variant 6,Product,Sqft,Sqmt,40
154,Accounting Services,Cost Accounting,Payroll Management Software - Cost Accounting Variant 7,Product,Sqmt,Acre,50
155,Accounting Services,Cost Accounting,Company Seal - Cost Accounting Variant 8,Product,Kg,Ton,60
156,Accounting Services,Cost Accounting,Tax Calculation Software - Cost Accounting Variant 9,Product,Litre,Barrel,70
157,Accounting Services,Cost Accounting,Tax Filing Software - Cost Accounting Variant 10,Product,Piece,Dozen,80
158,Accounting Services,Cost Accounting,Accounting Ledger Book - Cost Accounting Variant 11,Product,Set,Lot,90
159,Accounting Services,Cost Accounting,GST Invoice Book - Cost Accounting Variant 12,Product,Meter,Roll,100
160,Accounting Services,Cost Accounting,Tally ERP Software - Cost Accounting Variant 13,Product,Box,Carton,110
161,Accounting Services,Cost Accounting,Digital Signature Certificate - Cost Accounting Variant 14,Product,Bag,Pallet,120
162,Accounting Services,Cost Accounting,Balance Sheet Template - Cost Accounting Variant 15,Product,Unit,Lot,130
163,Accounting Services,Cost Accounting,Audit Report Binder - Cost Accounting Variant 16,Product,License,Subscription,140
164,Accounting Services,Cost Accounting,GST Registration - Cost Accounting Package 1,Service,Per Project,Contract,1
165,Accounting Services,Cost Accounting,Annual Audit Service - Cost Accounting Package 2,Service,Per Project,Contract,1
166,Accounting Services,Cost Accounting,Bookkeeping Monthly - Cost Accounting Package 3,Service,Per Project,Contract,1
167,Accounting Services,Cost Accounting,Payroll Processing - Cost Accounting Package 4,Service,Per Project,Contract,1
168,Accounting Services,Cost Accounting,Tax Return Filing - Cost Accounting Package 5,Service,Per Project,Contract,1
169,Accounting Services,Management Accounting,Accounting Ledger Book - Management Accounting Variant 1,Product,Book,Box,200
170,Accounting Services,Management Accounting,GST Invoice Book - Management Accounting Variant 2,Product,Certificate,Lot,210
171,Accounting Services,Management Accounting,Tally ERP Software - Management Accounting Variant 3,Product,Credit,Pack,220
172,Accounting Services,Management Accounting,Digital Signature Certificate - Management Accounting Variant 4,Product,Per Filing,Annual,230
173,Accounting Services,Management Accounting,Balance Sheet Template - Management Accounting Variant 5,Product,Per Month,Annual,240
174,Accounting Services,Management Accounting,Audit Report Binder - Management Accounting Variant 6,Product,Per Hour,Monthly,250
175,Accounting Services,Management Accounting,Payroll Management Software - Management Accounting Variant 7,Product,Per Project,Contract,260
176,Accounting Services,Management Accounting,Company Seal - Management Accounting Variant 8,Product,Per Acre,Per Season,270
177,Accounting Services,Management Accounting,Tax Calculation Software - Management Accounting Variant 9,Product,Per Day,Monthly,280
178,Accounting Services,Management Accounting,Tax Filing Software - Management Accounting Variant 10,Product,Per Sample,Batch,290
179,Accounting Services,Management Accounting,Accounting Ledger Book - Management Accounting Variant 11,Product,Per Trip,Contract,300
180,Accounting Services,Management Accounting,GST Invoice Book - Management Accounting Variant 12,Product,Per Formula,Contract,310
181,Accounting Services,Management Accounting,Tally ERP Software - Management Accounting Variant 13,Product,Per Animal,Annual,320
182,Accounting Services,Management Accounting,Digital Signature Certificate - Management Accounting Variant 14,Product,Sheet,Box,330
183,Accounting Services,Management Accounting,Balance Sheet Template - Management Accounting Variant 15,Product,Roll,Pallet,340
184,Accounting Services,Management Accounting,Audit Report Binder - Management Accounting Variant 16,Product,Sqft,Sqmt,350
185,Accounting Services,Management Accounting,GST Registration - Management Accounting Package 1,Service,Per Project,Contract,1
186,Accounting Services,Management Accounting,Annual Audit Service - Management Accounting Package 2,Service,Per Project,Contract,1
187,Accounting Services,Management Accounting,Bookkeeping Monthly - Management Accounting Package 3,Service,Per Project,Contract,1
188,Accounting Services,Management Accounting,Payroll Processing - Management Accounting Package 4,Service,Per Project,Contract,1
189,Accounting Services,Management Accounting,Tax Return Filing - Management Accounting Package 5,Service,Per Project,Contract,1
190,Accounting Services,Company Registration,Accounting Ledger Book - Company Registration Variant 1,Product,Meter,Roll,410
191,Accounting Services,Company Registration,GST Invoice Book - Company Registration Variant 2,Product,Box,Carton,420
192,Accounting Services,Company Registration,Tally ERP Software - Company Registration Variant 3,Product,Bag,Pallet,430
193,Accounting Services,Company Registration,Digital Signature Certificate - Company Registration Variant 4,Product,Unit,Lot,440
194,Accounting Services,Company Registration,Balance Sheet Template - Company Registration Variant 5,Product,License,Subscription,450
195,Accounting Services,Company Registration,Audit Report Binder - Company Registration Variant 6,Product,Service,Contract,460
196,Accounting Services,Company Registration,Payroll Management Software - Company Registration Variant 7,Product,Ton,MT,470
197,Accounting Services,Company Registration,Company Seal - Company Registration Variant 8,Product,Pack,Carton,480
198,Accounting Services,Company Registration,Tax Calculation Software - Company Registration Variant 9,Product,Gram,Kg,490
199,Accounting Services,Company Registration,Tax Filing Software - Company Registration Variant 10,Product,Can,Pallet,500
200,Accounting Services,Company Registration,Accounting Ledger Book - Company Registration Variant 11,Product,Book,Box,10
201,Accounting Services,Company Registration,GST Invoice Book - Company Registration Variant 12,Product,Certificate,Lot,20
202,Accounting Services,Company Registration,Tally ERP Software - Company Registration Variant 13,Product,Credit,Pack,30
203,Accounting Services,Company Registration,Digital Signature Certificate - Company Registration Variant 14,Product,Per Filing,Annual,40
204,Accounting Services,Company Registration,Balance Sheet Template - Company Registration Variant 15,Product,Per Month,Annual,50
205,Accounting Services,Company Registration,Audit Report Binder - Company Registration Variant 16,Product,Per Hour,Monthly,60
206,Accounting Services,Company Registration,GST Registration - Company Registration Package 1,Service,Per Project,Contract,1
207,Accounting Services,Company Registration,Annual Audit Service - Company Registration Package 2,Service,Per Project,Contract,1
208,Accounting Services,Company Registration,Bookkeeping Monthly - Company Registration Package 3,Service,Per Project,Contract,1
209,Accounting Services,Company Registration,Payroll Processing - Company Registration Package 4,Service,Per Project,Contract,1
210,Accounting Services,Company Registration,Tax Return Filing - Company Registration Package 5,Service,Per Project,Contract,1
211,Agriculture,Crop Farming,Rice Seeds - Crop Farming Variant 1,Product,Per Formula,Contract,120
212,Agriculture,Crop Farming,Maize Seeds - Crop Farming Variant 2,Product,Per Animal,Annual,130
213,Agriculture,Crop Farming,Sunflower Seeds - Crop Farming Variant 3,Product,Sheet,Box,140
214,Agriculture,Crop Farming,Soybean Seeds - Crop Farming Variant 4,Product,Roll,Pallet,150
215,Agriculture,Crop Farming,Cotton Seeds - Crop Farming Variant 5,Product,Sqft,Sqmt,160
216,Agriculture,Crop Farming,Tomato Seeds - Crop Farming Variant 6,Product,Sqmt,Acre,170
217,Agriculture,Crop Farming,Onion Seeds - Crop Farming Variant 7,Product,Kg,Ton,180
218,Agriculture,Crop Farming,Chilli Seeds - Crop Farming Variant 8,Product,Litre,Barrel,190
219,Agriculture,Crop Farming,Organic Fertilizer - Crop Farming Variant 9,Product,Piece,Dozen,200
220,Agriculture,Crop Farming,NPK Fertilizer - Crop Farming Variant 10,Product,Set,Lot,210
221,Agriculture,Crop Farming,Urea Fertilizer - Crop Farming Variant 11,Product,Meter,Roll,220
222,Agriculture,Crop Farming,DAP Fertilizer - Crop Farming Variant 12,Product,Box,Carton,230
223,Agriculture,Crop Farming,Pesticide Spray - Crop Farming Variant 13,Product,Bag,Pallet,240
224,Agriculture,Crop Farming,Herbicide - Crop Farming Variant 14,Product,Unit,Lot,250
225,Agriculture,Crop Farming,Fungicide - Crop Farming Variant 15,Product,License,Subscription,260
226,Agriculture,Crop Farming,Irrigation Pipe - Crop Farming Variant 16,Product,Service,Contract,270
227,Agriculture,Crop Farming,Crop Advisory Service - Crop Farming Package 1,Service,Per Project,Contract,1
228,Agriculture,Crop Farming,Farm Labour Supply - Crop Farming Package 2,Service,Per Project,Contract,1
229,Agriculture,Crop Farming,Agricultural Drone Service - Crop Farming Package 3,Service,Per Project,Contract,1
230,Agriculture,Crop Farming,Irrigation Installation - Crop Farming Package 4,Service,Per Project,Contract,1
231,Agriculture,Crop Farming,Soil Testing Service - Crop Farming Package 5,Service,Per Project,Contract,1
232,Agriculture,Organic Farming,Rice Seeds - Organic Farming Variant 1,Product,Certificate,Lot,330
233,Agriculture,Organic Farming,Maize Seeds - Organic Farming Variant 2,Product,Credit,Pack,340
234,Agriculture,Organic Farming,Sunflower Seeds - Organic Farming Variant 3,Product,Per Filing,Annual,350
235,Agriculture,Organic Farming,Soybean Seeds - Organic Farming Variant 4,Product,Per Month,Annual,360
236,Agriculture,Organic Farming,Cotton Seeds - Organic Farming Variant 5,Product,Per Hour,Monthly,370
237,Agriculture,Organic Farming,Tomato Seeds - Organic Farming Variant 6,Product,Per Project,Contract,380
238,Agriculture,Organic Farming,Onion Seeds - Organic Farming Variant 7,Product,Per Acre,Per Season,390
239,Agriculture,Organic Farming,Chilli Seeds - Organic Farming Variant 8,Product,Per Day,Monthly,400
240,Agriculture,Organic Farming,Organic Fertilizer - Organic Farming Variant 9,Product,Per Sample,Batch,410
241,Agriculture,Organic Farming,NPK Fertilizer - Organic Farming Variant 10,Product,Per Trip,Contract,420
242,Agriculture,Organic Farming,Urea Fertilizer - Organic Farming Variant 11,Product,Per Formula,Contract,430
243,Agriculture,Organic Farming,DAP Fertilizer - Organic Farming Variant 12,Product,Per Animal,Annual,440
244,Agriculture,Organic Farming,Pesticide Spray - Organic Farming Variant 13,Product,Sheet,Box,450
245,Agriculture,Organic Farming,Herbicide - Organic Farming Variant 14,Product,Roll,Pallet,460
246,Agriculture,Organic Farming,Fungicide - Organic Farming Variant 15,Product,Sqft,Sqmt,470
247,Agriculture,Organic Farming,Irrigation Pipe - Organic Farming Variant 16,Product,Sqmt,Acre,480
248,Agriculture,Organic Farming,Crop Advisory Service - Organic Farming Package 1,Service,Per Project,Contract,1
249,Agriculture,Organic Farming,Farm Labour Supply - Organic Farming Package 2,Service,Per Project,Contract,1
250,Agriculture,Organic Farming,Agricultural Drone Service - Organic Farming Package 3,Service,Per Project,Contract,1
251,Agriculture,Organic Farming,Irrigation Installation - Organic Farming Package 4,Service,Per Project,Contract,1
252,Agriculture,Organic Farming,Soil Testing Service - Organic Farming Package 5,Service,Per Project,Contract,1
253,Agriculture,Horticulture,Rice Seeds - Horticulture Variant 1,Product,Box,Carton,40
254,Agriculture,Horticulture,Maize Seeds - Horticulture Variant 2,Product,Bag,Pallet,50
255,Agriculture,Horticulture,Sunflower Seeds - Horticulture Variant 3,Product,Unit,Lot,60
256,Agriculture,Horticulture,Soybean Seeds - Horticulture Variant 4,Product,License,Subscription,70
257,Agriculture,Horticulture,Cotton Seeds - Horticulture Variant 5,Product,Service,Contract,80
258,Agriculture,Horticulture,Tomato Seeds - Horticulture Variant 6,Product,Ton,MT,90
259,Agriculture,Horticulture,Onion Seeds - Horticulture Variant 7,Product,Pack,Carton,100
260,Agriculture,Horticulture,Chilli Seeds - Horticulture Variant 8,Product,Gram,Kg,110
261,Agriculture,Horticulture,Organic Fertilizer - Horticulture Variant 9,Product,Can,Pallet,120
262,Agriculture,Horticulture,NPK Fertilizer - Horticulture Variant 10,Product,Book,Box,130
263,Agriculture,Horticulture,Urea Fertilizer - Horticulture Variant 11,Product,Certificate,Lot,140
264,Agriculture,Horticulture,DAP Fertilizer - Horticulture Variant 12,Product,Credit,Pack,150
265,Agriculture,Horticulture,Pesticide Spray - Horticulture Variant 13,Product,Per Filing,Annual,160
266,Agriculture,Horticulture,Herbicide - Horticulture Variant 14,Product,Per Month,Annual,170
267,Agriculture,Horticulture,Fungicide - Horticulture Variant 15,Product,Per Hour,Monthly,180
268,Agriculture,Horticulture,Irrigation Pipe - Horticulture Variant 16,Product,Per Project,Contract,190
269,Agriculture,Horticulture,Crop Advisory Service - Horticulture Package 1,Service,Per Project,Contract,1
270,Agriculture,Horticulture,Farm Labour Supply - Horticulture Package 2,Service,Per Project,Contract,1
271,Agriculture,Horticulture,Agricultural Drone Service - Horticulture Package 3,Service,Per Project,Contract,1
272,Agriculture,Horticulture,Irrigation Installation - Horticulture Package 4,Service,Per Project,Contract,1
273,Agriculture,Horticulture,Soil Testing Service - Horticulture Package 5,Service,Per Project,Contract,1
